Site,Animal,Population,Death,Status
Dabob,327,N,5,1
Dabob,328,N,5,1
Dabob,329,N,5,1
Dabob,330,N,5,1
Dabob,331,N,5,1
Dabob,332,N,5,1
Dabob,333,N,5,1
Dabob,334,N,5,1
Dabob,335,N,5,1
Dabob,336,N,5,1
Dabob,337,N,5,1
Dabob,338,N,5,1
Dabob,339,N,5,1
Dabob,340,N,5,1
Dabob,341,N,5,1
Dabob,342,N,5,1
Dabob,343,N,5,1
Dabob,344,N,5,1
Dabob,345,N,5,1
Dabob,346,N,5,1
Dabob,347,N,5,1
Dabob,348,N,5,1
Dabob,349,N,5,1
Dabob,350,N,5,1
Dabob,351,N,5,1
Dabob,352,N,5,1
Dabob,353,N,5,1
Dabob,354,N,5,1
Dabob,355,N,5,1
Dabob,356,N,5,1
Dabob,357,N,5,1
Dabob,358,N,5,1
Dabob,359,N,5,1
Dabob,360,N,5,1
Dabob,361,N,5,1
Dabob,362,N,5,1
Dabob,363,N,5,1
Dabob,364,N,5,1
Dabob,365,N,5,1
Dabob,366,N,5,1
Dabob,367,N,5,1
Dabob,368,N,5,1
Dabob,369,N,5,1
Dabob,370,N,5,0
Dabob,371,N,5,0
Dabob,372,N,5,0
Dabob,373,N,5,0
Dabob,374,N,5,0
Dabob,375,N,5,0
Dabob,376,N,5,0
Dabob,377,N,5,0
Dabob,378,N,5,0
Dabob,379,N,5,0
Dabob,380,N,5,0
Dabob,381,N,5,0
Dabob,382,N,5,0
Dabob,383,N,5,0
Dabob,384,N,5,0
Dabob,385,N,5,0
Dabob,386,N,5,0
Dabob,387,N,5,0
Dabob,388,N,5,0
Dabob,389,N,5,0
Dabob,390,N,5,0
Dabob,391,N,5,0
Dabob,392,N,5,0
Dabob,393,N,8,1
Dabob,394,N,8,1
Dabob,395,N,8,1
Dabob,396,N,8,1
Dabob,397,N,8,1
Dabob,398,N,8,1
Dabob,399,N,8,1
Dabob,400,N,8,1
Dabob,401,N,8,1
Dabob,402,N,8,1
Dabob,403,N,8,1
Dabob,404,N,8,1
Dabob,405,N,8,1
Dabob,406,N,8,1
Dabob,407,N,8,1
Dabob,408,N,8,1
Dabob,409,N,8,1
Dabob,410,N,8,1
Dabob,411,N,8,1
Dabob,412,N,8,1
Dabob,413,N,8,1
Dabob,414,N,8,0
Dabob,415,N,8,0
Dabob,416,N,8,0
Dabob,417,N,8,0
Dabob,418,N,8,0
Dabob,419,N,8,0
Dabob,420,N,8,0
Dabob,421,N,8,0
Dabob,422,N,8,0
Dabob,423,N,8,0
Dabob,424,N,8,0
Dabob,425,N,8,0
Dabob,426,N,8,0
Dabob,427,N,8,0
Dabob,428,N,8,0
Dabob,429,N,8,0
Dabob,430,N,8,0
Dabob,431,N,8,0
Dabob,432,N,8,0
Dabob,433,N,8,0
Dabob,434,N,8,0
Dabob,435,N,8,0
Dabob,436,N,8,0
Dabob,437,N,8,0
Dabob,438,N,8,0
Dabob,439,N,8,0
Dabob,440,N,8,0
Dabob,441,N,8,0
Dabob,442,N,8,0
Dabob,443,N,8,0
Dabob,444,N,8,0
Dabob,445,N,8,0
Dabob,446,N,8,0
Dabob,447,N,8,0
Dabob,448,N,8,0
Dabob,449,N,8,0
Dabob,450,N,8,0
Dabob,451,N,8,0
Dabob,452,N,8,0
Dabob,453,N,8,0
Dabob,454,N,8,0
Dabob,455,N,8,0
Dabob,456,N,8,0
Dabob,457,N,8,0
Dabob,458,N,8,0
Dabob,459,N,8,0
Dabob,460,N,8,0
Dabob,461,N,8,0
Dabob,462,N,8,0
Dabob,463,N,8,0
Dabob,464,N,8,0
Dabob,465,N,8,0
Dabob,466,N,8,0
Dabob,467,N,8,0
Dabob,468,N,8,0
Dabob,469,N,8,0
Dabob,470,N,8,0
Dabob,471,N,8,0
Dabob,472,N,8,0
Dabob,473,N,8,0
Dabob,474,N,8,0
Dabob,475,N,8,0
Dabob,476,N,8,0
Dabob,477,N,8,0
Dabob,478,N,8,0
Dabob,479,N,8,0
Dabob,480,N,8,0
Dabob,481,H,4,1
Dabob,482,H,4,1
Dabob,483,H,4,1
Dabob,484,H,4,1
Dabob,485,H,4,1
Dabob,486,H,4,1
Dabob,487,H,4,1
Dabob,488,H,4,1
Dabob,489,H,4,1
Dabob,490,H,4,1
Dabob,491,H,4,1
Dabob,492,H,4,1
Dabob,493,H,4,1
Dabob,494,H,4,1
Dabob,495,H,4,1
Dabob,496,H,4,1
Dabob,497,H,4,1
Dabob,498,H,4,1
Dabob,499,H,4,1
Dabob,500,H,4,1
Dabob,501,H,4,1
Dabob,502,H,4,1
Dabob,503,H,4,1
Dabob,504,H,4,1
Dabob,505,H,4,1
Dabob,506,H,4,1
Dabob,507,H,4,1
Dabob,508,H,4,1
Dabob,509,H,4,1
Dabob,510,H,4,1
Dabob,511,H,4,1
Dabob,512,H,4,1
Dabob,513,H,4,1
Dabob,514,H,4,1
Dabob,515,H,4,1
Dabob,516,H,4,1
Dabob,517,H,4,1
Dabob,518,H,4,1
Dabob,519,H,4,1
Dabob,520,H,4,1
Dabob,521,H,4,1
Dabob,522,H,4,1
Dabob,523,H,4,1
Dabob,524,H,4,1
Dabob,525,H,4,1
Dabob,526,H,4,1
Dabob,527,H,4,1
